Variáveis Territoriais e Sociodemográficas;ESCOLA MUNICIPAL CASA DOS FERROVIARIOS;ESCOLA MUNICIPAL PROFESSOR MAURO MOTA;ESCOLA MUNICIPAL COMPOSITOR CAPIBA;ESCOLA MUNICIPAL BOLA NA REDE
Territorialidade (UDH / Setor Censitário);Coqueiral / Tejipió / Sancho / Totó : Zeis Cavaleiro;Nova Descoberta : Zeis Casa Amarela;Encruzilhada / Torreão : Rua Marechal Deodoro;Guabiraba / Dois Irmãos ( Bola na Rede / Bom Clima )
IVS Global;0.397;0.45;0.146;0.464
IVS Infraestrutura Urbana;0,317;0,361;0,003;0,359
% Água e Esgoto Inadequados;0,48;2,43;0;6,63
% Sem Coleta de Lixo;1,35;0,95;0,44;10,24
% Baixa Renda e >1h até o trabalho;13,59;15,05;0;11,09
IVS Capital Humano;0,413;0,497;0,21;0,517
Mortalidade Infantil (até 1 ano);21,9;28,33;8,6;29,28
% Crianças (0 a 5 anos) fora da escola;38,86;55,7;26,76;45,95
% Pessoas (6 a 14 anos) fora da escola;2,76;3,73;5,33;3,63
% Mulheres (10 a 17) com filhos;3,04;3,21;0;2,67
